date,home_team,away_team,team,scorer,minute,own_goal,penalty,torneio
1987-06-28,Brazil,Venezuela,Brazil,Nelson Luís Kerchner,72,FALSE,FALSE,
1987-06-28,Brazil,Venezuela,Brazil,Romário,89,FALSE,FALSE,
1989-07-01,Brazil,Venezuela,Brazil,Bebeto,2,FALSE,FALSE,
1989-07-01,Brazil,Venezuela,Brazil,Geovani Faria da Silva,36,FALSE,TRUE,
1989-07-01,Brazil,Venezuela,Brazil,Baltazar Maria de Morais Júnior,57,FALSE,FALSE,
1989-07-09,Brazil,Paraguay,Brazil,Bebeto,47,FALSE,FALSE,
1989-07-09,Brazil,Paraguay,Brazil,Bebeto,82,FALSE,FALSE,
1989-07-12,Brazil,Argentina,Brazil,Bebeto,48,FALSE,FALSE,
1989-07-12,Brazil,Argentina,Brazil,Romário,55,FALSE,FALSE,
1989-07-14,Brazil,Paraguay,Brazil,Bebeto,16,FALSE,FALSE,
1989-07-14,Brazil,Paraguay,Brazil,Bebeto,52,FALSE,FALSE,
1989-07-14,Brazil,Paraguay,Brazil,Romário,58,FALSE,FALSE,
1989-07-16,Brazil,Uruguay,Brazil,Romário,49,FALSE,FALSE,
1989-07-30,Venezuela,Brazil,Brazil,Branco,5,FALSE,FALSE,
1989-07-30,Venezuela,Brazil,Brazil,Romário,65,FALSE,FALSE,
1989-07-30,Venezuela,Brazil,Brazil,Bebeto,79,FALSE,FALSE,
1989-07-30,Venezuela,Brazil,Brazil,Bebeto,81,FALSE,FALSE,
1989-08-13,Chile,Brazil,Brazil,Hugo González,56,TRUE,FALSE,
1989-08-20,Brazil,Venezuela,Brazil,Careca,10,FALSE,FALSE,
1989-08-20,Brazil,Venezuela,Brazil,Careca,17,FALSE,FALSE,
